Wall time,Step,Value
1543674764.2954078,0,16732.76953125
1543674764.7444508,1,27759.359375
1543674765.2446,2,31748.099609375
1543674765.6984942,3,21940.26171875
1543674766.1644487,4,20706.79296875
1543674766.6264336,5,16463.07421875
1543674767.110994,6,8444.5576171875
1543674767.6449091,7,8184.43115234375
1543674768.1652398,8,10709.5771484375
1543674768.681084,9,6547.46044921875
1543674769.1773412,10,7143.16845703125
1543674769.6746309,11,9313.8876953125
1543674770.2292447,12,5778.4521484375
1543674770.908346,13,4471.15234375
1543674771.4349115,14,3028.91796875
1543674771.9208214,15,2115.525146484375
1543674772.488229,16,2679.385986328125
1543674772.9869237,17,3185.87646484375
1543674773.444058,18,1768.321044921875
1543674773.8995411,19,1492.0133056640625
1543674774.3476706,20,1308.9261474609375
1543674774.8452601,21,1219.543212890625
1543674775.29232,22,1077.2027587890625
1543674775.8025978,23,1008.552978515625
1543674776.2714913,24,948.8662719726562
1543674776.7396348,25,920.0396728515625
1543674777.2252886,26,920.5989379882812
1543674777.67715,27,907.6585083007812
1543674778.1456041,28,977.1251831054688
1543674778.6583116,29,998.4727783203125
1543674779.1437962,30,1350.0789794921875
1543674779.6381726,31,1513.389892578125
1543674780.1461625,32,3031.691650390625
1543674780.623794,33,2924.516357421875
1543674781.0836046,34,1046.020751953125
1543674781.572663,35,923.0947875976562
1543674782.0688763,36,877.7954711914062
1543674782.5482547,37,876.47998046875
1543674783.0368853,38,855.4854736328125
1543674783.5621932,39,885.7822875976562
1543674784.1132674,40,898.8768920898438
1543674784.5984983,41,1043.1746826171875
1543674785.0894732,42,1275.936279296875
1543674785.5839753,43,2142.043701171875
1543674786.065934,44,2747.54248046875
1543674786.59428,45,4273.43505859375
1543674787.0839903,46,4678.97314453125
1543674787.5686758,47,1111.0577392578125
1543674788.0768301,48,827.3638916015625
1543674788.5445867,49,799.4469604492188
1543674789.0373743,50,788.7208251953125
1543674789.5551462,51,801.3905029296875
1543674790.035495,52,814.9732055664062
1543674790.5733824,53,850.5164184570312
1543674791.0846324,54,908.184326171875
1543674791.6120563,55,1028.0909423828125
1543674792.1587682,56,1273.653076171875
1543674792.696864,57,1646.651123046875
1543674793.1603124,58,1803.4693603515625
1543674793.6064074,59,2227.280517578125
1543674794.0912938,60,1429.714111328125
1543674794.5486867,61,1363.97802734375
1543674795.0225978,62,1515.3341064453125
1543674795.5199747,63,1532.509765625
1543674796.0642257,64,3739.463623046875
1543674796.5927613,65,1963.46630859375
1543674797.1227646,66,3114.32421875
1543674797.648573,67,5923.4287109375
1543674798.2191982,68,1589.68408203125
1543674798.6783473,69,1074.0460205078125
1543674799.1972532,70,877.2939453125
1543674799.6914139,71,831.2319946289062
1543674800.2135804,72,789.6915893554688
1543674800.732242,73,767.1226806640625
1543674801.3114703,74,762.1507568359375
1543674801.8872402,75,749.5043334960938
1543674802.4234533,76,775.5629272460938
1543674803.0178986,77,791.3014526367188
1543674803.6004198,78,916.5034790039062
1543674804.1570592,79,1156.6715087890625
1543674804.6916265,80,2089.651123046875
1543674805.2134316,81,2122.943115234375
1543674805.6841931,82,3138.23583984375
1543674806.229337,83,1159.843505859375
1543674806.7657175,84,863.3181762695312
1543674807.3351502,85,848.8092651367188
1543674807.8703938,86,841.3798828125
1543674808.4207766,87,975.6962890625
1543674808.9426806,88,1477.38134765625
1543674809.4461794,89,3055.7236328125
1543674810.0442765,90,1011.5384521484375
1543674810.5951412,91,880.5110473632812
1543674811.1058235,92,863.226806640625
1543674811.6492875,93,911.7835083007812
1543674812.1348667,94,955.9354858398438
1543674812.6772897,95,1107.3516845703125
1543674813.1830146,96,1428.3232421875
1543674813.7671432,97,2417.823974609375
1543674814.2909806,98,2853.0517578125
1543674814.8319752,99,1813.8126220703125
1543674815.3531082,100,2521.317626953125
1543674815.8682523,101,2166.64501953125
1543674816.385008,102,2658.182861328125
1543674816.9138622,103,1942.4521484375
1543674817.4241588,104,1742.8629150390625
1543674818.005598,105,1780.4061279296875
1543674818.4816961,106,1532.6256103515625
1543674818.9584146,107,1509.615966796875
1543674819.4304352,108,1132.4693603515625
1543674819.99272,109,1056.60400390625
1543674820.5190415,110,791.177490234375
1543674821.0487373,111,715.0512084960938
1543674821.5847635,112,651.98876953125
1543674822.1148438,113,631.0166015625
1543674822.6280522,114,615.8076171875
1543674823.0961878,115,603.418212890625
1543674823.6018026,116,592.492919921875
1543674824.1459439,117,582.4353637695312
1543674824.6663315,118,572.8295288085938
1543674825.2494373,119,563.7811889648438
1543674825.7596264,120,555.121337890625
1543674826.2359474,121,546.825439453125
1543674826.7077465,122,538.8455810546875
1543674827.1825552,123,531.2537841796875
1543674827.6594362,124,523.9779052734375
1543674828.1331227,125,516.9415283203125
1543674828.674801,126,510.18719482421875
1543674829.1630416,127,503.65374755859375
1543674829.6778502,128,497.2521667480469
1543674830.1931489,129,491.1705322265625
1543674830.7523174,130,485.2601013183594
1543674831.277605,131,479.9911193847656
1543674831.8011947,132,475.1717529296875
1543674832.2614136,133,471.7278137207031
1543674832.7512975,134,470.4245910644531
1543674833.2981849,135,474.5024719238281
1543674833.8080683,136,488.705322265625
1543674834.288505,137,539.6353759765625
1543674834.762876,138,699.4562377929688
1543674835.2668715,139,1691.2205810546875
1543674835.737973,140,2851.714599609375
1543674836.211463,141,8133.1220703125
1543674836.6787782,142,4882.16162109375
1543674837.1520617,143,4278.35888671875
1543674837.6128447,144,7251.8056640625
1543674838.0757785,145,3972.563720703125
1543674838.5278301,146,2486.85546875
1543674838.9841785,147,2769.76416015625
1543674839.4371922,148,3088.323486328125
1543674839.895613,149,3433.130126953125
1543674840.3564587,150,2270.93310546875
1543674840.8174798,151,1552.724853515625
1543674841.2744293,152,861.73583984375
1543674841.7448432,153,809.4481811523438
1543674842.218224,154,709.3184204101562
1543674842.6840541,155,678.8012084960938
1543674843.1664572,156,649.4964599609375
1543674843.6916556,157,633.4819946289062
1543674844.157325,158,618.0270385742188
1543674844.6206772,159,605.34130859375
1543674845.092541,160,593.9254150390625
1543674845.6197915,161,583.281494140625
1543674846.1792705,162,574.2479248046875
1543674846.745019,163,565.938720703125
1543674847.3025053,164,558.567138671875
1543674847.873869,165,551.7440795898438
1543674848.4414408,166,546.40966796875
1543674849.0178537,167,540.6886596679688
1543674849.557122,168,536.5940551757812
1543674850.0640745,169,533.6063842773438
1543674850.632804,170,532.2620849609375
1543674851.1669877,171,534.5787353515625
1543674851.6788545,172,547.06005859375
1543674852.1894078,173,571.31787109375
1543674852.7008028,174,666.786865234375
1543674853.2205,175,1033.9302978515625
